"","nmu","coeff_mmd_95"
"162",0.161,0.00135062613534161
"163",0.162,0.00127359516556325
"164",0.163,0.00120072436428569
"165",0.164,0.0011318033229129
"166",0.165,0.00106663142623276
"167",0.166,0.00100501744595291
"168",0.167,0.000946779148230333
"169",0.168,0.000891742914961942
"170",0.169,0.000839743378391338
"171",0.17,0.000790623068824955
"172",0.171,0.000744232075042849
"173",0.172,0.000700427717214747
"174",0.173,0.00065907423175955
"175",0.174,0.000620042468135882
"176",0.175,0.000583209596943282
"177",0.176,0.000548458829230694
"178",0.177,0.000515679146538878
"179",0.178,0.000484765041463741
"180",0.179,0.000455616268383085
"181",0.18,0.000428137604066471
"182",0.181,0.000402238617717317
"183",0.182,0.000377833450459622
"184",0.183,0.000354840603569315
"185",0.184,0.000333182735529901
"186",0.185,0.000312786467344405
"187",0.186,0.000293582196017664
"188",0.187,0.000275503915776702
"189",0.188,0.000258489046897165
"190",0.189,0.000242478271774562
"191",0.19,0.000227415378019839
"192",0.191,0.000213247108322657
"193",0.192,0.000199923016838253
"194",0.193,0.000187395331859936
"195",0.194,0.000175618824524355
"196",0.195,0.000164550683341522
"197",0.196,0.000154150394337815
"198",0.197,0.000144379626571541
"199",0.198,0.000135202122804339
"200",0.199,0.000126583595191367
"201",0.2,0.000118491625682617
"202",0.201,0.000110895571090501
"203",0.202,0.000103766472488628
"204",0.203,9.70769688545758e-05
"205",0.204,9.08012147610839e-05
"206",0.205,8.49148019711728e-05
"207",0.206,7.93946847104793e-05
"208",0.207,7.4219108549536e-05
"209",0.208,6.93675426369039e-05
"210",0.209,6.48206153018351e-05
"211",0.21,6.05600526365778e-05
"212",0.211,5.65686202339585e-05
"213",0.212,5.28300676305576e-05
"214",0.213,4.93290756099398e-05
"215",0.214,4.60512060495402e-05
"216",0.215,4.2982854275082e-05
"217",0.216,4.01112038228709e-05
"218",0.217,3.74241834442937e-05
"219",0.218,3.49104263388186e-05
"220",0.219,3.25592313813105e-05
"221",0.22,3.03605264034541e-05
